Published Date,Project Type,Project Type Name,Budget Line,Budget Line Title,Funding Type,First Fiscal Year,Fiscal Year 1 Amount,Fiscal Year 2 Amount,Fiscal Year 3 Amount,Fiscal Year 4 Amount
20180713,PV,CULTURAL INSTITUTIONS,PV DN656,GREATER RIDGEWOOD HISTORICAL SOCIETY,C,2019,470000,0,0,0
20180713,WM,"WATER MAINS, SOURCES AND TREATMENT",WM 0103,"ARCH., ADMIN. & OTHER COSTS, DEPARTMENT OF ENVIR. PROT (WATER MAINS)",E,2019,6500000,0,0,0
20180713,S ,SANITATION,S  0222,PURCHASE OF ELECTRONIC DATA PROCESSING EQUIPMENT FOR DPT. SANITATION,C,2019,0,0,1102808,3500000
20180713,ED,ECONOMIC DEVELOPMENT,ED 0319,BROOKLYN NAVY YARD,C,2019,0,0,30563248,30721000
20180713,HD,HOUSING & DEVELOPMENT,HD DN931,ARVERNE LIMITED-PROFIT HOUSING CORP,C,2019,250000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV DN853,ORIGINAL MUSIC WORKSHOP,C,2019,48000,0,0,0
20180713,HL,HEALTH,HL M001,"IMPROVEMENTS TO DEPARTMENT OF HEALTH BUILDINGS, MANHATTAN",C,2019,40000,0,0,0
20180713,LN,NEW YORK PUBLIC LIBRARY,LN I001,"ARCH, ENGINEERING, ADMIN EXPENSES FOR CAPITAL PROJECTS",C,2019,500000,0,0,0
20180713,PW,PUBLIC BUILDINGS,PW DN876,NEW YORK UNIVERSITY,C,2019,145000,0,0,0
20180713,HN,HIGHER EDUCATION,HN D002,"CONSTRUCTION AND IMPROVEMENTS TO CUNY COMMUNITY COLLEGES, CITYWIDE",C,2019,28803000,0,0,0
20180713,SE,SEWERS,SE 0200X,"CONSTRUCTION & RECONSTRUCTION OF STORM SEWERS, BRONX",C,2019,5273259,8474000,0,0
20180713,HB,HIGHWAY BRIDGES,HB 0163,"FIVE BRIDGES IN MELROSE, THE BRONX",C,2019,0,315000,0,0
20180713,HW,HIGHWAYS,HW 0002R,"RESURFACING OF STREETS, STATEN ISLAND",C,2019,5429609,0,0,0
20180713,C ,CORRECTION,C  0117,"PURCHASE OF COMPUTER EQUIPMENT, ALL FACILITIES",C,2019,7712131,0,4000000,3300000
20180713,HL,HEALTH,HL DN192,INTERFAITH MEDICAL CENTER,C,2019,918000,0,0,0
20180713,PV,CULTURAL INSTITUTIONS,PV R490,"SNUG HARBOR, IMPROVEMENTS",C,2019,618000,0,0,0
